Name,Type,Adr [Hex],Size [B],Region
CAN1_MessageObject_Receiv,OBJECT,0x2000A348,32.0,DSRAM 1 (system)
CAN2_MessageObject_Receiv,OBJECT,0x2000A368,32.0,DSRAM 1 (system)
CAN1_MessageObject_Transm,OBJECT,0x2000A3A0,32.0,DSRAM 1 (system)
CAN2_MessageObject_Transm,OBJECT,0x2000A458,32.0,DSRAM 1 (system)
UART_Channel_0_Configurat,OBJECT,0x2000A02C,32.0,DSRAM 1 (system)
SPI2_Channel0_Configurati,OBJECT,0x2000A0C0,32.0,DSRAM 1 (system)
VADC_callback_handler,FUNC,0x0800B92D,32.0,FLASH 1 (cached)
vIPSetDnsTimerEnableState,FUNC,0x08005785,32.0,FLASH 1 (cached)
_sbrk_r,FUNC,0x0800C229,32.0,FLASH 1 (cached)
SPI_Master_set_speed,FUNC,0x0800A0C5,32.0,FLASH 1 (cached)
XMC_UART_CH_Stop,FUNC,0x08001A35,32.0,FLASH 1 (cached)
XMC_CAN_Enable,FUNC,0x08000EC1,32.0,FLASH 1 (cached)
VADC_Global_Configuration,OBJECT,0x20009F50,32.0,DSRAM 1 (system)
UART_Channel_2_Configurat,OBJECT,0x2000A080,32.0,DSRAM 1 (system)
vIPSetDHCPTimerEnableStat,FUNC,0x0800572D,32.0,FLASH 1 (cached)
xTaskGetSchedulerState,FUNC,0x080037FD,32.0,FLASH 1 (cached)
FreeRTOS_NetworkDown,FUNC,0x08005009,32.0,FLASH 1 (cached)
XMC_CAN_MO_Transmit,FUNC,0x08000FC9,32.0,FLASH 1 (cached)
prvTCPSendReset,FUNC,0x080070AD,30.0,FLASH 1 (cached)
spi_reconfigure_rx_fifo,FUNC,0x08009CB5,30.0,FLASH 1 (cached)
vListInsertEnd,FUNC,0x080021CD,30.0,FLASH 1 (cached)
XMC_VADC_GLOBAL_Backgroun,FUNC,0x08001CA5,30.0,FLASH 1 (cached)
memchr,FUNC,0x0800C089,30.0,FLASH 1 (cached)
XMC_GPIO_SetHardwareContr,FUNC,0x08001871,30.0,FLASH 1 (cached)
reconfigure_rx_fifo,FUNC,0x08009531,28.0,FLASH 1 (cached)
CCU40_Channel1_Configurat,OBJECT,0x2000A240,28.0,DSRAM 1 (system)
CCU40_Channel0_Configurat,OBJECT,0x2000A180,28.0,DSRAM 1 (system)
CCU42_Channel0_Configurat,OBJECT,0x2000A1A0,28.0,DSRAM 1 (system)
CCU40_Channel3_Configurat,OBJECT,0x2000A224,28.0,DSRAM 1 (system)
XMC_ETH_PHY_GetLinkStatus,FUNC,0x08001809,28.0,FLASH 1 (cached)
XMC_USIC_CH_RXFIFO_SetInt,FUNC,0x08001C19,28.0,FLASH 1 (cached)
ulApplicationGetNextSeque,FUNC,0x0800B9C1,28.0,FLASH 1 (cached)
XMC_CAN_AllocateMOtoNodeL,FUNC,0x08000E95,28.0,FLASH 1 (cached)
_ZN8LedTask_D0Ev,FUNC,0x0800B685,28.0,FLASH 1 (cached)
UART_Channel_2_Control,OBJECT,0x20009BB0,28.0,DSRAM 1 (system)
XMC_USIC_CH_TXFIFO_SetInt,FUNC,0x08001BFD,28.0,FLASH 1 (cached)
vNetworkSocketsInit,FUNC,0x080057F5,28.0,FLASH 1 (cached)
UART_Channel_0_Control,OBJECT,0x20009BCC,28.0,DSRAM 1 (system)
